transaction_id,device_id,employee_id,checkout_timestamp,return_timestamp,checkout_duration_hours,checkout_date,checkout_month,turnaround_hours
TX002140,DEV0001,EMP0335,2025-07-15 11:00:00,2025-07-19 05:10:09.150055816,90.16920834883777,2025-07-15,2025-07,
TX003688,DEV0001,EMP0404,2025-09-13 13:03:00,2025-09-17 09:59:13.162002844,92.93698944523445,2025-09-13,2025-09,1351.880791651162
TX006366,DEV0001,EMP0058,2025-09-17 10:33:00,2025-09-27 09:37:27.272314145,239.07424230948473,2025-09-17,2025-09,0.5630105547655556
TX000287,DEV0001,EMP0257,2025-09-20 18:43:00,2025-09-23 13:30:30.326675146,66.79175740976278,2025-09-20,2025-09,
TX007660,DEV0001,EMP0086,2025-10-19 10:31:00,2025-10-23 05:14:24.629690281,90.72350824730027,2025-10-19,2025-10,528.892424357182
TX002298,DEV0001,EMP0379,2025-10-19 16:07:00,2025-11-02 02:33:22.092611125,322.43947016975693,2025-10-19,2025-10,
TX001959,DEV0001,EMP0241,2025-11-01 08:06:00,2025-11-04 12:46:17.048588218,76.6714023856161,2025-11-01,2025-11,
TX002988,DEV0001,EMP0395,2025-11-01 17:13:00,2025-11-05 03:33:03.568770228,82.33432465839667,2025-11-01,2025-11,
TX007557,DEV0001,EMP0329,2025-11-05 07:02:00,2025-11-15 03:32:54.448406747,236.51512455742971,2025-11-05,2025-11,3.4823420082700003
TX004044,DEV0001,EMP0240,2025-11-16 12:54:00,2025-11-23 12:32:14.541958340,167.63737276620554,2025-11-16,2025-11,33.351542109236945
TX002370,DEV0001,EMP0211,2025-11-19 16:39:00,2025-11-27 07:40:28.072916821,183.02446469911695,2025-11-19,2025-11,
TX005960,DEV0001,EMP0347,2025-11-28 12:09:00,2025-12-02 03:33:35.008954693,87.40972470963693,2025-11-28,2025-11,28.475535300883056
TX002807,DEV0001,EMP0295,2025-12-03 16:32:00,2025-12-05 16:17:32.802125471,47.75911170151972,2025-12-03,2025-12,36.973608623696386
TX007790,DEV0001,EMP0252,2025-12-20 18:49:00,2025-12-26 03:09:41.944164865,128.34498449024028,2025-12-20,2025-12,362.52422163181365
TX008180,DEV0001,EMP0069,2026-02-19 18:16:00,2026-02-24 11:22:38.020316138,113.11056119892721,2026-02-19,2026-02,1335.1050155097598
TX008152,DEV0001,EMP0358,2026-02-28 12:13:00,2026-03-13 20:43:41.659256058,320.5115720155717,2026-02-28,2026-02,96.83943880107277
TX007879,DEV0001,EMP0057,2026-03-28 12:04:00,2026-03-31 18:20:57.325682015,78.28259046722638,2026-03-28,2026-03,351.33842798442834
TX001301,DEV0001,EMP0198,2026-04-14 15:51:00,2026-05-06 00:55:32.482693517,513.0756896370881,2026-04-14,2026-04,333.500742866107
TX004101,DEV0001,EMP0129,2026-05-14 15:49:00,2026-05-17 19:23:34.667897688,75.57629663824666,2026-05-14,2026-05,206.8909770295786
TX008596,DEV0001,EMP0043,2026-05-14 18:15:00,2026-05-31 19:31:54.219741376,409.2817277059377,2026-05-14,2026-05,
TX008598,DEV0001,EMP0021,2026-06-10 12:51:00,2026-06-11 17:31:45.968856973,28.679435793603613,2026-06-10,2026-06,233.3182722940622
TX004135,DEV0001,EMP0152,2026-07-05 10:58:00,2026-07-19 16:55:29.322614079,341.95814517057755,2026-07-05,2026-07,569.4372308730631
TX008208,DEV0001,EMP0331,2026-07-13 15:10:00,2026-07-21 17:52:32.201289974,194.70894480277056,2026-07-13,2026-07,
TX002793,DEV0001,EMP0015,2026-08-13 13:51:00,2026-09-02 16:29:22.396602688,482.63955461185776,2026-08-13,2026-08,547.9743885305628
TX006884,DEV0001,EMP0283,2026-08-25 16:15:00,2026-09-02 02:37:56.784583672,178.3824401621311,2026-08-25,2026-08,
TX005314,DEV0002,EMP0247,2024-01-15 07:23:00,2024-01-16 17:27:49.087868837,34.08030218578806,2024-01-15,2024-01,
TX004082,DEV0002,EMP0401,2024-01-23 12:47:00,2024-01-25 02:59:10.262617477,38.20285072707695,2024-01-23,2024-01,163.31969781421193
TX002874,DEV0002,EMP0342,2024-01-23 14:24:00,2024-02-04 17:46:13.153863742,291.3703205177061,2024-01-23,2024-01,
TX004912,DEV0002,EMP0377,2024-03-27 17:01:00,2024-04-02 22:57:49.021798352,149.94695049954223,2024-03-27,2024-03,1247.2463461489606
TX002141,DEV0002,EMP0082,2024-04-04 11:27:00,2024-04-11 19:43:37.709081499,176.2771414115275,2024-04-04,2024-04,36.486382833791104
TX008020,DEV0002,EMP0054,2024-04-05 13:02:00,2024-04-18 06:41:50.470745060,305.6640196514055,2024-04-05,2024-04,
TX003940,DEV0002,EMP0345,2024-04-25 15:05:00,2024-04-30 16:48:34.664763694,121.72629576769278,2024-04-25,2024-04,176.38598034859444
TX006254,DEV0002,EMP0008,2024-05-11 18:07:00,2024-05-15 02:02:26.029446164,79.92389706837888,2024-05-11,2024-05,265.30703756564054
TX003615,DEV0002,EMP0066,2024-05-22 15:38:00,2024-05-25 08:47:28.591805225,65.15794216811805,2024-05-22,2024-05,181.59276959828776
TX007376,DEV0002,EMP0080,2024-05-24 07:43:00,2024-05-28 22:47:25.916713850,111.07386575384722,2024-05-24,2024-05,
TX008851,DEV0002,EMP0026,2024-05-30 07:36:00,2024-07-05 18:17:59.111560954,874.6997532113761,2024-05-30,2024-05,32.80946757948611
TX005797,DEV0002,EMP0408,2024-06-25 09:26:00,2024-06-30 19:46:22.971714732,130.33971436520332,2024-06-25,2024-06,
TX007797,DEV0002,EMP0267,2024-07-10 16:50:00,2024-07-20 19:38:49.762093255,242.81382280368192,2024-07-10,2024-07,118.53358012195721
TX006882,DEV0002,EMP0346,2024-07-23 11:21:00,2024-08-02 22:21:33.413299880,251.0092814721889,2024-07-23,2024-07,63.70284386298472
TX008455,DEV0002,EMP0271,2024-07-30 07:05:00,2024-08-01 00:52:31.168316498,41.79199119902722,2024-07-30,2024-07,
TX005288,DEV0002,EMP0262,2024-08-31 08:24:00,2024-09-16 06:08:49.545369354,381.74709593593167,2024-08-31,2024-08,682.0407185278111
TX001950,DEV0002,EMP0075,2024-09-10 10:51:00,2024-09-18 00:45:14.781993319,181.90410610925528,2024-09-10,2024-09,
TX003112,DEV0002,EMP0242,2024-09-14 17:27:00,2024-09-17 21:18:31.494722487,75.85874853402417,2024-09-14,2024-09,
TX007793,DEV0002,EMP0148,2024-09-21 16:19:00,2024-09-23 00:04:55.264224342,31.765351173428332,2024-09-21,2024-09,87.56256055741139
TX004770,DEV0002,EMP0379,2024-09-24 14:33:00,2024-10-01 04:38:48.987589905,158.09694099719584,2024-09-24,2024-09,38.467982159905
TX008552,DEV0002,EMP0213,2024-11-12 14:45:00,2024-12-01 17:07:48.112913232,458.3800313647867,2024-11-12,2024-11,1018.1030590028041
TX002108,DEV0002,EMP0144,2024-11-14 14:20:00,2024-11-22 18:28:46.974064685,196.14638168463475,2024-11-14,2024-11,
TX008006,DEV0002,EMP0401,2024-12-20 07:07:00,2025-01-01 14:08:03.011600606,295.01750322239053,2024-12-20,2024-12,445.98663530187997
TX004281,DEV0002,EMP0286,2025-01-14 07:22:00,2025-01-21 18:55:01.396854034,179.55038801500945,2025-01-14,2025-01,305.23249677760947
TX007365,DEV0002,EMP0321,2025-01-22 15:01:00,2025-01-29 00:57:37.838850200,153.94384412505553,2025-01-22,2025-01,20.099611984990556
TX004549,DEV0002,EMP0314,2025-03-12 11:16:00,2025-03-20 03:45:17.214588068,184.4881151633522,2025-03-12,2025-03,1018.3061558749444
TX003712,DEV0002,EMP0191,2025-03-16 17:06:00,2025-03-21 18:50:11.847830345,121.73662439731805,2025-03-16,2025-03,
TX008554,DEV0002,EMP0091,2025-05-27 17:00:00,2025-06-24 10:06:46.245438840,665.1128459552333,2025-05-27,2025-05,1606.163375602682
TX004455,DEV0002,EMP0004,2025-05-29 16:35:00,2025-05-31 18:12:17.390455048,49.621497348624445,2025-05-29,2025-05,
TX006750,DEV0002,EMP0392,2025-06-07 15:21:00,2025-06-12 23:47:56.393785268,128.44899827368556,2025-06-07,2025-06,
TX000159,DEV0002,EMP0178,2025-06-26 13:30:00,2025-07-05 19:58:24.296006063,222.47341555723972,2025-06-26,2025-06,51.38715404476667
TX006065,DEV0002,EMP0296,2025-07-12 16:34:00,2025-07-21 15:02:01.385750403,214.46705159733418,2025-07-12,2025-07,164.59325110942694
TX002765,DEV0002,EMP0136,2025-07-25 18:31:00,2025-08-02 16:40:46.486107141,190.16291280753916,2025-07-25,2025-07,99.48294840266584
TX006347,DEV0002,EMP0334,2025-07-31 15:34:00,2025-08-05 21:03:29.456973098,125.49151582586055,2025-07-31,2025-07,
TX004924,DEV0002,EMP0081,2025-08-08 11:00:00,2025-08-12 01:32:27.676586146,86.54102127392945,2025-08-08,2025-08,61.941817507472784
TX003853,DEV0002,EMP0053,2025-08-10 08:36:00,2025-08-13 08:08:34.888214977,71.54302450416027,2025-08-10,2025-08,
TX008583,DEV0002,EMP0117,2025-09-05 14:16:00,2025-09-17 11:49:01.667941655,285.5504633171264,2025-09-05,2025-09,558.1236421625064
TX003982,DEV0002,EMP0050,2025-11-06 09:03:00,2025-11-07 04:37:25.285523569,19.57369042321361,2025-11-06,2025-11,1197.232870016207
TX002437,DEV0002,EMP0245,2025-11-11 14:15:00,2025-11-22 23:16:49.175705737,273.0303265849269,2025-11-11,2025-11,105.6263095767864
TX004307,DEV0002,EMP0296,2025-11-18 15:39:00,2025-11-21 02:55:53.472429486,59.28152011930167,2025-11-18,2025-11,
TX001189,DEV0002,EMP0334,2025-11-18 16:07:00,2025-12-03 06:49:50.997945772,350.7141660960478,2025-11-18,2025-11,
TX001947,DEV0002,EMP0410,2025-11-20 10:36:00,2025-12-02 15:15:48.880502846,292.66357791745725,2025-11-20,2025-11,
TX005841,DEV0002,EMP0307,2025-11-30 13:33:00,2025-12-04 09:18:08.307170505,91.7523075473625,2025-11-30,2025-11,
TX005748,DEV0002,EMP0120,2025-12-25 07:38:00,2026-01-03 23:12:20.424149771,231.57234004160304,2025-12-25,2025-12,502.33102578597084
TX000684,DEV0002,EMP0059,2025-12-28 16:18:00,2025-12-31 15:47:30.604611700,71.49183461436111,2025-12-28,2025-12,
TX005008,DEV0002,EMP0152,2026-01-03 15:46:00,2026-01-15 19:01:42.359772599,291.2617666034997,2026-01-03,2026-01,
TX000033,DEV0002,EMP0367,2026-01-13 15:58:00,2026-01-22 20:13:50.817788236,220.26411605228776,2026-01-13,2026-01,
TX002833,DEV0002,EMP0240,2026-03-20 11:39:00,2026-03-26 18:27:36.833883952,150.81023163443112,2026-03-20,2026-03,1359.4192172810456
TX002178,DEV0002,EMP0310,2026-04-26 15:03:00,2026-05-04 01:10:25.357249088,178.1237103469689,2026-04-26,2026-04,740.589768365569
TX006088,DEV0002,EMP0301,2026-05-05 09:15:00,2026-05-06 19:43:12.072735181,34.470020204216944,2026-05-05,2026-05,32.07628965303111
TX003544,DEV0002,EMP0285,2026-05-19 12:07:00,2026-05-22 06:10:39.986763304,66.06110743425111,2026-05-19,2026-05,304.3966464624497
TX001335,DEV0002,EMP0282,2026-05-24 11:32:00,2026-05-28 16:51:16.239203317,101.32117755647694,2026-05-24,2026-05,53.35555923241555
TX007325,DEV0002,EMP0175,2026-06-09 11:21:00,2026-06-16 02:15:15.495452580,158.90430429238336,2026-06-09,2026-06,282.49548911018974
TX008605,DEV0002,EMP0262,2026-07-24 13:08:00,2026-07-27 15:53:03.049878458,74.75084718846057,2026-07-24,2026-07,922.87902904095
TX001347,DEV0003,EMP0238,2024-01-10 07:22:00,2024-02-13 19:15:48.008586637,827.8966690518437,2024-01-10,2024-01,
TX008301,DEV0003,EMP0288,2024-02-01 14:37:00,2024-02-16 12:40:32.764801055,358.05910133362636,2024-02-01,2024-02,
TX005963,DEV0003,EMP0130,2024-04-18 13:59:00,2024-04-29 09:09:19.936474123,259.1722045761453,2024-04-18,2024-04,1489.3075653330402
TX005917,DEV0003,EMP0275,2024-04-21 16:55:00,2024-05-05 04:00:13.636773063,323.0871213258509,2024-04-21,2024-04,
TX005743,DEV0003,EMP0244,2024-05-14 16:16:00,2024-05-15 20:04:49.537559607,27.813760433224164,2024-05-14,2024-05,228.26287867414916
TX000336,DEV0003,EMP0115,2024-07-20 07:18:00,2024-07-31 18:48:31.114260971,275.5086428502697,2024-07-20,2024-07,1571.2195729001091
TX008408,DEV0003,EMP0189,2024-08-07 15:49:00,2024-08-10 13:29:29.135284065,69.67475980112917,2024-08-07,2024-08,165.00802381639696
TX005180,DEV0003,EMP0162,2024-08-16 16:38:00,2024-08-27 01:38:27.866002485,249.00774055624584,2024-08-16,2024-08,147.1419068655375
TX002375,DEV0003,EMP0196,2024-09-14 16:20:00,2024-09-22 20:36:24.558860804,196.27348857244553,2024-09-14,2024-09,446.6922594437542
TX000435,DEV0003,EMP0251,2024-09-23 16:28:00,2024-09-27 06:36:00.822167377,86.13356171316028,2024-09-23,2024-09,19.85984476088778
TX008779,DEV0003,EMP0293,2024-10-19 13:42:00,2024-10-24 12:55:38.024736832,119.22722909356445,2024-10-19,2024-10,535.0997716201731
TX003898,DEV0003,EMP0061,2024-10-23 10:33:00,2024-10-23 23:52:02.000882126,13.317222467257222,2024-10-23,2024-10,
TX008786,DEV0003,EMP0037,2024-11-09 08:22:00,2024-11-14 10:39:44.691304047,122.2957475844575,2024-11-09,2024-11,379.4394375731022
TX008241,DEV0003,EMP0333,2024-11-22 15:31:00,2024-11-26 18:04:02.605375354,98.55072371537611,2024-11-22,2024-11,196.8542524155425
TX006553,DEV0003,EMP0147,2024-11-30 15:20:00,2024-12-02 11:11:51.949213744,43.86443033715111,2024-11-30,2024-11,93.26594295129055
TX003309,DEV0003,EMP0183,2024-12-12 09:13:00,2024-12-18 09:38:29.521905334,144.4248671959261,2024-12-12,2024-12,238.01890299618222
TX007778,DEV0003,EMP0279,2025-01-03 14:07:00,2025-01-14 07:28:20.002636507,257.3555562879186,2025-01-03,2025-01,388.4751328040739
TX006212,DEV0003,EMP0181,2025-01-29 11:13:00,2025-02-01 00:39:38.061894668,61.44390608185223,2025-01-29,2025-01,363.7444437120814
TX000349,DEV0003,EMP0343,2025-02-11 11:43:00,2025-02-16 09:37:01.009292066,117.90028035890721,2025-02-11,2025-02,251.05609391814778
TX002044,DEV0003,EMP0153,2025-02-20 13:19:00,2025-03-09 09:08:40.726717902,403.8279796438617,2025-02-20,2025-02,99.69971964109278
TX001178,DEV0003,EMP0249,2025-03-01 10:56:00,2025-03-08 00:06:23.049502939,157.17306930637193,2025-03-01,2025-03,
TX000049,DEV0003,EMP0033,2025-03-16 08:50:00,2025-03-26 19:34:42.026538070,250.74500737168609,2025-03-16,2025-03,167.688687022805
TX008617,DEV0003,EMP0056,2025-03-20 13:39:00,2025-03-21 23:42:57.094769381,34.065859658161386,2025-03-20,2025-03,
TX001359,DEV0003,EMP0087,2025-05-01 11:37:00,2025-05-05 05:54:48.976511046,90.296937919735,2025-05-01,2025-05,856.0383259616473
TX003959,DEV0003,EMP0410,2025-05-03 18:01:00,2025-05-08 04:34:47.282428109,106.56313400780806,2025-05-03,2025-05,
TX002507,DEV0003,EMP0025,2025-05-11 18:16:00,2025-05-22 14:30:04.829513242,260.23467486478944,2025-05-11,2025-05,85.68686599219194
TX008355,DEV0003,EMP0131,2025-05-20 16:01:00,2025-05-25 20:13:15.818591619,124.2043940532275,2025-05-20,2025-05,
TX006234,DEV0003,EMP0210,2025-05-21 12:56:00,2025-06-08 15:04:04.877908470,434.1346883079084,2025-05-21,2025-05,
TX003141,DEV0003,EMP0038,2025-06-03 13:30:00,2025-06-22 00:56:07.677290936,443.4354659141489,2025-06-03,2025-06,
TX001752,DEV0003,EMP0338,2025-06-14 17:24:00,2025-06-18 06:16:46.173927555,84.87949275765416,2025-06-14,2025-06,
TX002766,DEV0003,EMP0304,2025-07-26 15:23:00,2025-08-13 06:15:08.596437535,422.86905456598197,2025-07-26,2025-07,830.4478674191845
TX000816,DEV0003,EMP0385,2025-08-04 09:47:00,2025-08-19 20:32:18.780070937,370.7552166863714,2025-08-04,2025-08,
TX001546,DEV0003,EMP0204,2025-08-26 09:51:00,2025-09-05 21:37:51.490888873,251.78096969135362,2025-08-26,2025-08,157.31144998029527
TX005343,DEV0003,EMP0133,2025-09-02 10:01:00,2025-09-14 18:31:07.564044513,296.5021011234758,2025-09-02,2025-09,
TX003869,DEV0003,EMP0081,2025-09-07 16:25:00,2025-09-12 18:21:11.618227383,121.93656061871751,2025-09-07,2025-09,
TX004360,DEV0003,EMP0281,2025-10-10 08:32:00,2025-10-12 01:51:44.082086335,41.32891169064861,2025-10-10,2025-10,614.0145655431909
TX006685,DEV0003,EMP0243,2025-10-18 07:07:00,2025-10-25 16:34:51.071898658,177.46418663851608,2025-10-18,2025-10,149.25442164268472
TX001415,DEV0003,EMP0193,2025-10-26 12:36:00,2025-11-03 06:00:16.728230652,185.4046467307367,2025-10-26,2025-10,20.01914669481722
TX005243,DEV0003,EMP0073,2025-11-02 10:44:00,2025-11-22 07:51:22.443038076,477.12290084391,2025-11-02,2025-11,
TX001568,DEV0003,EMP0079,2025-11-05 16:14:00,2025-11-14 19:38:35.661476311,219.40990596564197,2025-11-05,2025-11,
TX005619,DEV0003,EMP0400,2025-11-17 17:01:00,2025-11-21 00:57:56.639890550,79.9490666362639,2025-11-17,2025-11,
TX004616,DEV0003,EMP0108,2025-11-22 09:36:00,2025-11-25 05:26:15.506809033,67.83764078028695,2025-11-22,2025-11,1.7437658227566666
TX008751,DEV0003,EMP0147,2025-12-08 07:50:00,2025-12-08 18:50:22.631008461,11.006286391239167,2025-12-08,2025-12,314.3956925530464
TX000763,DEV0003,EMP0167,2026-01-08 13:26:00,2026-01-21 21:33:25.665101286,320.12379586146835,2026-01-08,2026-01,738.5937136087608
TX002430,DEV0003,EMP0046,2026-02-27 11:58:00,2026-03-04 12:12:39.546362887,120.24431843413528,2026-02-27,2026-02,878.409537471865
TX003187,DEV0003,EMP0247,2026-03-04 09:35:00,2026-03-12 04:56:48.818207007,187.3635606130575,2026-03-04,2026-03,
TX007284,DEV0003,EMP0163,2026-04-01 18:08:00,2026-04-17 08:54:34.169668544,374.77615824126224,2026-04-01,2026-04,493.18643938694254
TX002997,DEV0003,EMP0112,2026-04-12 16:19:00,2026-04-14 06:26:38.654930424,38.12740414734,2026-04-12,2026-04,
TX000831,DEV0003,EMP0272,2026-04-18 15:37:00,2026-05-11 12:07:54.480826214,548.5151335628373,2026-04-18,2026-04,30.70717509207111
TX001857,DEV0003,EMP0297,2026-04-24 07:29:00,2026-04-29 23:31:23.579962917,136.0398833230325,2026-04-24,2026-04,
TX001965,DEV0003,EMP0036,2026-05-31 16:36:00,2026-06-04 12:18:16.201904279,91.70450052896639,2026-05-31,2026-05,484.46819977049614
TX002503,DEV0003,EMP0006,2026-06-07 07:15:00,2026-06-23 23:54:00.393439056,400.65010928862665,2026-06-07,2026-06,66.94549947103361
TX004826,DEV0003,EMP0395,2026-07-05 17:12:00,2026-07-09 19:38:22.087904331,98.43946886231416,2026-07-05,2026-07,281.29989071137334
TX002498,DEV0003,EMP0076,2026-07-10 17:45:00,2026-07-13 01:45:16.592064030,56.004608906675,2026-07-10,2026-07,22.110531137685832
TX008738,DEV0003,EMP0271,2026-07-14 16:42:00,2026-08-01 07:31:42.582402799,422.8284951118886,2026-07-14,2026-07,38.945391093325
TX001409,DEV0003,EMP0416,2026-07-16 07:23:00,2026-07-18 03:32:54.528037854,44.16514667718167,2026-07-16,2026-07,
TX000926,DEV0003,EMP0009,2026-07-23 15:34:00,2026-07-26 13:15:28.147099248,69.69115197201333,2026-07-23,2026-07,
TX004525,DEV0003,EMP0117,2026-07-31 17:37:00,2026-08-08 05:38:29.013227794,180.02472589660943,2026-07-31,2026-07,
TX003104,DEV0003,EMP0254,2026-08-26 17:00:00,2026-09-04 06:07:03.591920904,205.11766442247333,2026-08-26,2026-08,443.35860743672384
TX005891,DEV0004,EMP0157,2024-03-02 11:39:00,2024-03-09 18:28:21.639618703,174.82267767186195,2024-03-02,2024-03,
TX001193,DEV0004,EMP0265,2024-03-18 11:20:00,2024-04-01 02:11:06.742709875,326.8518729749653,2024-03-18,2024-03,208.86065566147138
TX001499,DEV0004,EMP0398,2024-04-11 18:09:00,2024-04-17 15:38:06.048097269,141.4850133603525,2024-04-11,2024-04,255.9647936917014
TX004565,DEV0004,EMP0051,2024-05-03 12:36:00,2024-05-22 14:05:02.672402777,457.48407566743805,2024-05-03,2024-05,380.9649866396475
TX003849,DEV0004,EMP0137,2024-06-16 10:48:00,2024-07-01 04:21:10.543438334,353.55292873287055,2024-06-16,2024-06,596.715924332562
TX008775,DEV0004,EMP0144,2024-06-20 13:46:00,2024-07-13 15:29:18.071117197,553.7216864214436,2024-06-20,2024-06,
TX000410,DEV0004,EMP0411,2024-07-09 14:48:00,2024-07-14 10:11:31.218729888,115.39200520274666,2024-07-09,2024-07,
TX008201,DEV0004,EMP0024,2024-07-10 14:47:00,2024-07-20 05:10:52.375045574,230.3978819571039,2024-07-10,2024-07,
TX001591,DEV0004,EMP0347,2024-08-05 13:03:00,2024-08-11 19:10:26.810329646,150.12411398045722,2024-08-05,2024-08,391.86878470956276
TX005498,DEV0004,EMP0323,2024-08-12 15:02:00,2024-08-28 15:18:34.339936178,384.2762055378272,2024-08-12,2024-08,19.85921935287611
TX006592,DEV0004,EMP0053,2024-11-01 10:36:00,2024-11-22 12:43:23.615754400,506.12322659844443,2024-11-01,2024-11,1555.2904611288393
TX005077,DEV0004,EMP0348,2024-11-03 13:39:00,2024-11-07 04:58:53.936177097,87.33164893808251,2024-11-03,2024-11,
TX005577,DEV0004,EMP0015,2024-12-11 16:51:00,2024-12-26 20:20:51.575559441,363.4976598776225,2024-12-11,2024-12,460.12677340155557
TX008064,DEV0004,EMP0168,2025-04-15 18:22:00,2025-04-25 00:43:00.699523478,222.35019431207724,2025-04-15,2025-04,2638.019006789045
TX004021,DEV0004,EMP0343,2025-06-17 10:58:00,2025-06-26 07:55:04.375511149,212.9512154197636,2025-06-17,2025-06,1282.2498056879228
TX007632,DEV0004,EMP0082,2025-06-25 17:13:00,2025-07-08 21:47:40.588245096,316.5779411791933,2025-06-25,2025-06,
TX007004,DEV0004,EMP0326,2025-08-09 09:23:00,2025-08-17 06:08:32.656480299,188.7590712445275,2025-08-09,2025-08,755.5887254874733
